Designator,Mid X,Mid Y,Rotation,Layer
C1,7.0,2.0,0.0,top
C2,8.0,-7.825,90.0,top
C3,8.0,-12.0,270.0,top
C4,14.0,-7.825,270.0,top
C5,14.0,-11.825,270.0,top
C6,11.0,-7.825,270.0,top
C7,11.0,-11.825,90.0,top
C8,27.0,-6.825,270.0,top
C9,29.5,-12.5,180.0,top
D1,10.975,2.25,90.0,top
J1,8.5,-1.0,270.0,bottom
J2,42.46,-13.0,90.0,top
R1,17.5,2.0,180.0,top
R2,34.0,-12.5,180.0,top
U1,2.0,-10.0,270.0,top
U2,39.190381,-1.285355,0.0,top
U3,20.575,-9.825,0.0,top
